country_name,year,time,deaths
Australia,2019,24,3460
Australia,2019,25,3416
Australia,2019,26,3427
Australia,2019,27,3451
Australia,2019,28,3351
Australia,2019,29,3457
Australia,2019,30,3491
Australia,2019,31,3340
Australia,2019,32,3476
Australia,2019,33,3443
Australia,2019,34,3524
Australia,2019,35,3443
Australia,2019,36,3500
Australia,2019,37,3367
Australia,2019,38,3334
Australia,2019,39,3100
Australia,2019,40,3246
Australia,2019,41,3162
Australia,2019,42,3148
Australia,2019,43,3150
Australia,2019,44,3082
Australia,2019,45,2971
Australia,2019,46,3034
Australia,2019,47,2980
Australia,2019,48,2988
Australia,2019,49,2958
Australia,2019,50,2995
Australia,2019,51,2950
Australia,2019,52,2881
Australia,2020,1,2928
Australia,2020,2,2903
Australia,2020,3,2915
Australia,2020,4,3010
Australia,2020,5,2911
Australia,2020,6,2918
Australia,2020,7,3031
Australia,2020,8,3059
Australia,2020,9,3091
Australia,2020,10,2998
Australia,2020,11,2977
Australia,2020,12,3096
Australia,2020,13,3144
Australia,2020,14,3218
Australia,2020,15,3140
Australia,2020,16,3084
Australia,2020,17,3047
Australia,2020,18,3032
Australia,2020,19,3162
Australia,2020,20,3154
Australia,2020,21,3214
Australia,2020,22,3178
Australia,2020,23,3113
Australia,2020,24,3129
Australia,2020,25,3065
Australia,2020,26,3058
Australia,2020,27,3221
Australia,2020,28,3201
Australia,2020,29,3206
Australia,2020,30,3334
Australia,2020,31,3353
Australia,2020,32,3400
Australia,2020,33,3479
Australia,2020,34,3312
Australia,2020,35,3287
Australia,2020,36,3296
Australia,2020,37,3239
Australia,2020,38,3103
Australia,2020,39,3146
Australia,2020,40,3190
Australia,2020,41,3045
Australia,2020,42,3007
Australia,2020,43,2967
Australia,2020,44,3038
Australia,2020,45,3035
Australia,2020,46,3136
Australia,2020,47,3045
Australia,2020,48,2960
Australia,2020,49,3111
Australia,2020,50,3008
Australia,2020,51,3048
Australia,2020,52,3069
Australia,2020,53,2992
Australia,2021,1,3032
Australia,2021,2,2951
Australia,2021,3,3150
Australia,2021,4,2946
Australia,2021,5,3073
Australia,2021,6,2966
Australia,2021,7,2939
Australia,2021,8,3050
Australia,2021,9,3072
Australia,2021,10,3118
Australia,2021,11,3090
Australia,2021,12,3044
Australia,2021,13,3092
Australia,2021,14,2959
Australia,2021,15,3259
Australia,2021,16,3248
Australia,2021,17,3276
Australia,2021,18,3370
Australia,2021,19,3371
Australia,2021,20,3363
Australia,2021,21,3518
Australia,2021,22,3384
Australia,2021,23,3568
Australia,2021,24,3495
Australia,2021,25,3458
Australia,2021,26,3468
Australia,2021,27,3547
Australia,2021,28,3601
Australia,2021,29,3627
Australia,2021,30,3670
Australia,2021,31,3478
Australia,2021,32,3443
Australia,2021,33,3509
Australia,2021,34,3423
Australia,2021,35,3497
Australia,2021,36,3421
Australia,2021,37,3495
Australia,2021,38,3370
Australia,2021,39,3535
Australia,2021,40,3410
Australia,2021,41,3360
Australia,2021,42,3363
Australia,2021,43,3339
Australia,2021,44,3313
Australia,2021,45,3190
Australia,2021,46,3342
Australia,2021,47,3263
Australia,2021,48,3263
Australia,2021,49,3198
Australia,2021,50,3277
Australia,2021,51,3391
Australia,2021,52,3234
Australia,2022,1,3336
Australia,2022,2,3741
Australia,2022,3,3895
Australia,2022,4,3790
Australia,2022,5,3747
Australia,2022,6,3571
Australia,2022,7,3419
Australia,2022,8,3414
Australia,2022,9,3384
Australia,2022,10,3215
Australia,2022,11,3355
Australia,2022,12,3354
Australia,2022,13,3421
Australia,2022,14,3451
Australia,2022,15,3381
Australia,2022,16,3486
Australia,2022,17,3501
Australia,2022,18,3682
Australia,2022,19,3801
Australia,2022,20,3662
Australia,2022,21,3782
Australia,2022,22,3926
Australia,2022,23,4045
Australia,2022,24,4142
Australia,2022,25,4009
Australia,2022,26,3919
Australia,2022,27,4127
Australia,2022,28,4131
Australia,2022,29,4156
Australia,2022,30,4169
Australia,2022,31,4217
Australia,2022,32,4129
Australia,2022,33,3943
Australia,2022,34,3893
Australia,2022,35,3737
Australia,2022,36,3787
Australia,2022,37,3703
Australia,2022,38,3688
Australia,2022,39,3424
Australia,2022,40,3512
Australia,2022,41,3475
Australia,2022,42,3547
Australia,2022,43,3323
Australia,2022,44,3397
Australia,2022,45,3509
Australia,2022,46,3461
Australia,2022,47,3509
Australia,2022,48,3448
Australia,2022,49,3605
Australia,2022,50,3563
Australia,2022,51,3605
Australia,2022,52,3449
Australia,2023,1,3490
Australia,2023,2,3282
Australia,2023,3,3325
Australia,2023,4,3223
Australia,2023,5,3366
Australia,2023,6,3208
Australia,2023,7,3294
Australia,2023,8,3234
Australia,2023,9,3296
Australia,2023,10,3374
Australia,2023,11,3411
Australia,2023,12,3320
Australia,2023,13,3298
Australia,2023,14,3275
Australia,2023,15,3474
Australia,2023,16,3530
Australia,2023,17,3498
Australia,2023,18,3529
Australia,2023,19,3768
Australia,2023,20,3804
Australia,2023,21,3830
Australia,2023,22,3935
Australia,2023,23,3709
Australia,2023,24,3629
Australia,2023,25,3855
Australia,2023,26,3755
Australia,2023,27,3823
Australia,2023,28,3715
Australia,2023,29,3734
Australia,2023,30,3745
Australia,2023,31,3640
Australia,2023,32,3635
Australia,2023,33,3688
Australia,2023,34,3537
Australia,2023,35,3509
Australia,2023,36,3463
Australia,2023,37,3550
Australia,2023,38,3373
Australia,2023,39,3449
Australia,2023,40,3350
Australia,2023,41,3535
Australia,2023,42,3322
Australia,2023,43,3315
Australia,2023,44,3438
Australia,2023,45,3514
Australia,2023,46,3520
Australia,2023,47,3378
Australia,2023,48,3441
Australia,2023,49,3404
Australia,2023,50,3355
Australia,2023,51,3402
Australia,2023,52,3318
Australia,2024,1,3447
Australia,2024,2,3397
Australia,2024,3,3350
Australia,2024,4,3449
Australia,2024,5,3276
Australia,2024,6,3343
Australia,2024,7,3388
Australia,2024,8,3368
Australia,2024,9,3295
Australia,2024,10,3471
Australia,2024,11,3392
Australia,2024,12,3268
Australia,2024,13,3416
Australia,2024,14,3451
Australia,2024,15,3475
Australia,2024,16,3391
Australia,2024,17,3409
Australia,2024,18,3538
Australia,2024,19,3482
Australia,2024,20,3604
Australia,2024,21,3823
Australia,2024,22,3815
Australia,2024,23,3932
Australia,2024,24,4024
Australia,2024,25,3964
Australia,2024,26,4193
Australia,2024,27,3995
Australia,2024,28,3890
Australia,2024,29,4065
Australia,2024,30,4000
Australia,2024,31,3917
Australia,2024,32,3908
Australia,2024,33,3937
Australia,2024,34,3683
Australia,2024,35,3713
Australia,2024,36,3567
Australia,2024,37,3477
Australia,2024,38,3479
Australia,2024,39,3611
Australia,2024,40,3399
Australia,2024,41,3401
Australia,2024,42,3536
Australia,2024,43,3435
Australia,2024,44,3336
Australia,2024,45,3373
Australia,2024,46,3290
Australia,2024,47,3390
Australia,2024,48,3314
Australia,2024,49,3302
Australia,2024,50,3370
Australia,2024,51,3268
Australia,2024,52,3196
Austria,2015,1,1704
Austria,2015,2,1768
Austria,2015,3,1837
Austria,2015,4,1792
Austria,2015,5,1837
Austria,2015,6,1926
Austria,2015,7,1992
Austria,2015,8,2020
Austria,2015,9,1883
Austria,2015,10,1846
Austria,2015,11,1763
Austria,2015,12,1696
Austria,2015,13,1725
Austria,2015,14,1604
Austria,2015,15,1563
Austria,2015,16,1614
Austria,2015,17,1547
Austria,2015,18,1453
Austria,2015,19,1452
Austria,2015,20,1461
Austria,2015,21,1396
Austria,2015,22,1304
Austria,2015,23,1437
Austria,2015,24,1502
Austria,2015,25,1285
Austria,2015,26,1374
Austria,2015,27,1487
Austria,2015,28,1476
Austria,2015,29,1475
Austria,2015,30,1633
Austria,2015,31,1446
Austria,2015,32,1500
Austria,2015,33,1692
Austria,2015,34,1376
Austria,2015,35,1476
Austria,2015,36,1389
Austria,2015,37,1447
Austria,2015,38,1459
Austria,2015,39,1410
Austria,2015,40,1494
Austria,2015,41,1409
Austria,2015,42,1481
Austria,2015,43,1498
Austria,2015,44,1433
Austria,2015,45,1460
Austria,2015,46,1527
Austria,2015,47,1486
Austria,2015,48,1488
Austria,2015,49,1509
Austria,2015,50,1517
Austria,2015,51,1538
Austria,2015,52,1545
Austria,2015,53,1537
Austria,2016,1,1634
Austria,2016,2,1626
Austria,2016,3,1608
Austria,2016,4,1578
Austria,2016,5,1609
Austria,2016,6,1650
Austria,2016,7,1621
Austria,2016,8,1581
Austria,2016,9,1714
Austria,2016,10,1532
Austria,2016,11,1516
Austria,2016,12,1499
Austria,2016,13,1598
Austria,2016,14,1562
Austria,2016,15,1520
Austria,2016,16,1413
Austria,2016,17,1460
Austria,2016,18,1447
Austria,2016,19,1486
Austria,2016,20,1453
Austria,2016,21,1505
Austria,2016,22,1402
Austria,2016,23,1360
Austria,2016,24,1348
Austria,2016,25,1452
Austria,2016,26,1338
Austria,2016,27,1328
Austria,2016,28,1323
Austria,2016,29,1458
Austria,2016,30,1424
Austria,2016,31,1390
Austria,2016,32,1359
Austria,2016,33,1394
Austria,2016,34,1408
Austria,2016,35,1414
Austria,2016,36,1380
Austria,2016,37,1392
Austria,2016,38,1376
Austria,2016,39,1442
Austria,2016,40,1469
Austria,2016,41,1556
Austria,2016,42,1607
Austria,2016,43,1522
Austria,2016,44,1484
Austria,2016,45,1541
Austria,2016,46,1616
Austria,2016,47,1550
Austria,2016,48,1601
Austria,2016,49,1619
Austria,2016,50,1670
Austria,2016,51,1847
Austria,2016,52,2160
Austria,2017,1,2293
Austria,2017,2,2340
Austria,2017,3,2060
Austria,2017,4,1938
Austria,2017,5,2045
Austria,2017,6,1874
Austria,2017,7,1750
Austria,2017,8,1807
Austria,2017,9,1696
Austria,2017,10,1614
Austria,2017,11,1542
Austria,2017,12,1535
Austria,2017,13,1489
Austria,2017,14,1537
Austria,2017,15,1532
Austria,2017,16,1475
Austria,2017,17,1440
Austria,2017,18,1527
Austria,2017,19,1434
Austria,2017,20,1501
Austria,2017,21,1327
Austria,2017,22,1456
Austria,2017,23,1312
Austria,2017,24,1421
Austria,2017,25,1476
Austria,2017,26,1419
Austria,2017,27,1413
Austria,2017,28,1346
Austria,2017,29,1475
Austria,2017,30,1375
Austria,2017,31,1616
Austria,2017,32,1334
Austria,2017,33,1380
Austria,2017,34,1472
Austria,2017,35,1329
Austria,2017,36,1318
Austria,2017,37,1426
Austria,2017,38,1407
Austria,2017,39,1496
Austria,2017,40,1481
Austria,2017,41,1529
Austria,2017,42,1453
Austria,2017,43,1489
Austria,2017,44,1551
Austria,2017,45,1490
Austria,2017,46,1505
Austria,2017,47,1570
Austria,2017,48,1531
Austria,2017,49,1632
Austria,2017,50,1554
Austria,2017,51,1653
Austria,2017,52,1646
Austria,2018,1,1767
Austria,2018,2,1842
Austria,2018,3,1786
Austria,2018,4,1714
Austria,2018,5,1870
Austria,2018,6,1938
Austria,2018,7,1881
Austria,2018,8,1951
Austria,2018,9,2021
Austria,2018,10,1965
Austria,2018,11,1946
Austria,2018,12,1641
Austria,2018,13,1766
Austria,2018,14,1617
Austria,2018,15,1560
Austria,2018,16,1557
Austria,2018,17,1383
Austria,2018,18,1434
Austria,2018,19,1372
Austria,2018,20,1342
Austria,2018,21,1383
Austria,2018,22,1415
Austria,2018,23,1433
Austria,2018,24,1392
Austria,2018,25,1401
Austria,2018,26,1414
Austria,2018,27,1441
Austria,2018,28,1404
Austria,2018,29,1511
Austria,2018,30,1455
Austria,2018,31,1615
Austria,2018,32,1532
Austria,2018,33,1430
Austria,2018,34,1460
Austria,2018,35,1414
Austria,2018,36,1376
Austria,2018,37,1452
Austria,2018,38,1421
Austria,2018,39,1436
Austria,2018,40,1553
Austria,2018,41,1509
Austria,2018,42,1488
Austria,2018,43,1491
Austria,2018,44,1561
Austria,2018,45,1501
Austria,2018,46,1556
Austria,2018,47,1531
Austria,2018,48,1525
Austria,2018,49,1656
Austria,2018,50,1626
Austria,2018,51,1639
Austria,2018,52,1689
Austria,2019,1,1647
Austria,2019,2,1709
Austria,2019,3,1641
Austria,2019,4,1713
Austria,2019,5,1732
Austria,2019,6,1796
Austria,2019,7,1820
Austria,2019,8,1751
Austria,2019,9,1764
Austria,2019,10,1811
Austria,2019,11,1790
Austria,2019,12,1619
Austria,2019,13,1651
Austria,2019,14,1607
Austria,2019,15,1556
Austria,2019,16,1558
Austria,2019,17,1521
Austria,2019,18,1462
Austria,2019,19,1453
Austria,2019,20,1558
Austria,2019,21,1497
