Model,MAE,MSE,RMSE,R_squared
Linear Regression,0.15700178956893904,0.037898038948302126,0.19467418665118938,0.4617120061694331
Random Forest,0.14256155940182344,0.031585981050909664,0.1777244525970179,0.5574881344505541
