valence,year,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo
0.701,1954,0.981,0.636,0.222,0,2,0.524,-16.641,1,0.945,87.39
0.289,1998,0.405,0.753,0.349,0.00669,9,0.0782,-9.136,0,0.0275,107.971
0.581,1968,0.274,0.52,0.363,2.11e-4,9,0.6940000000000001,-16.261,0,0.111,71.979
0.677,1949,0.987,0.5820000000000001,0.165,0.933,7,0.111,-18.363,1,0.0613,100.403
0.336,1981,0.37,0.359,0.4320000000000001,1.74e-5,9,0.443,-13.121,1,0.032,137.813
0.956,1967,0.868,0.47,0.843,0.81,9,0.132,-8.962,0,0.0357,105.345
0.895,2009,0.475,0.6509999999999999,0.515,2.11e-6,2,0.122,-9.237,1,0.0366,157.174
0.584,1962,0.5539999999999999,0.643,0.37,0,10,0.0907,-12.94,0,0.0385,63.408
0.622,2011,0.028,0.588,0.86,0,8,0.564,-4.461,1,0.0767,129.945
0.703,1968,0.14,0.396,0.752,0.0135,5,0.113,-6.058,0,0.0455,176.372
0.324,2005,4.44e-5,0.5529999999999999,0.991,0.0695,8,0.179,-3.703,1,0.0925,114.92
0.604,1967,0.792,0.5710000000000001,0.4270000000000001,0,6,0.434,-11.067,1,0.0537,113.028
0.586,1988,0.589,0.48,0.391,4.88e-5,0,0.124,-9.191,1,0.0301,160.082
0.359,2008,0.0696,0.601,0.7070000000000001,0.00909,4,0.111,-4.845,1,0.0352,119.969
0.618,1939,0.483,0.64,0.818,2.21e-4,1,0.413,-10.268,0,0.109,94.04
0.633,1930,0.979,0.6679999999999999,0.253,0.00122,7,0.236,-9.965,0,0.0696,115.783
0.6940000000000001,1957,0.871,0.741,0.5329999999999999,0,10,0.154,-7.865,0,0.0368,121.161
0.754,1956,0.924,0.557,0.353,2.85e-4,5,0.0823,-17.535999999999998,0,0.12,89.899
0.647,2014,0.0014,0.565,0.862,0,4,0.105,-3.715,1,0.0326,122.994
0.159,2015,0.16,0.8220000000000001,0.362,0,2,0.313,-7.4620000000000015,1,0.0411,119.903
0.118,1996,0.00168,0.255,0.748,0.607,2,0.145,-7.282999999999999,1,0.0631,140.548
0.334,2011,0.00686,0.57,0.733,1.31e-4,2,0.21,-7.194,1,0.0306,109.97
0.642,1942,0.7929999999999999,0.607,0.324,1.69e-6,10,0.112,-11.327,1,0.0282,100.474
0.8270000000000001,2020,0.0185,0.88,0.483,8.75e-6,1,0.0607,-7.0120000000000005,1,0.0504,124.009
0.7879999999999999,1979,0.00652999999999999,0.759,0.794,5.32e-4,7,0.0683,-8.85,1,0.0306,131.045
0.815,1997,0.199,0.648,0.846,4.23e-6,0,0.0803,-6.731,1,0.0424,160.075
0.225,2018,0.6609999999999999,0.5920000000000001,0.457,3.31e-4,9,0.146,-6.081,0,0.0603,146.04
0.29100000000000004,1956,0.995,0.28600000000000003,0.024,0.928,7,0.133,-31.991,1,0.0435,87.214
0.895,1978,0.381,0.7090000000000001,0.7659999999999999,0,2,0.943,-8.423,1,0.0318,101.604
0.711,1974,0.456,0.513,0.682,0,7,0.274,-10.622,1,0.0711,93.428
0.8420000000000001,1964,0.619,0.67,0.654,0.00887,0,0.252,-8.641,1,0.0421,91.64
0.502,2017,0.314,0.62,0.644,0,4,0.105,-2.713,0,0.0447,145.87
0.237,1946,0.181,0.539,0.146,1.91e-5,7,0.182,-20.733,1,0.464,92.13
0.688,2016,0.00916,0.593,0.614,1.53e-6,2,0.228,-2.818,1,0.0317,150.078
0.777,1948,0.99,0.6729999999999999,0.245,1.37e-4,6,0.226,-9.837,0,0.123,89.61
0.406,1978,0.361,0.522,0.43,0.0642,7,0.349,-13.613,0,0.0469,115.275
0.872,1933,0.787,0.648,0.25,0,5,0.0532,-12.337,1,0.0683,157.95600000000005
0.794,1967,0.126,0.643,0.605,0,4,0.262,-6.9979999999999976,1,0.0295,112.057
0.952,1986,0.0723,0.614,0.8370000000000001,0,9,0.114,-7.234,1,0.0369,168.347
0.71,1956,0.608,0.638,0.277,0.391,7,0.152,-14.459,1,0.0493,87.415
0.385,1994,0.975,0.161,0.0738,0.914,7,0.108,-22.821,1,0.0565,79.52199999999998
0.967,1973,0.551,0.643,0.8590000000000001,0,5,0.111,-5.276,0,0.0378,121.401
0.937,1985,0.277,0.574,0.47,0,10,0.061,-13.137,1,0.0356,160.821
0.5539999999999999,1968,0.247,0.364,0.865,0.0209,2,0.0936,-7.3279999999999985,1,0.114,111.15
0.199,2002,0.474,0.265,0.594,0,3,0.38,-5.772,1,0.0466,97.067
0.9,2005,0.142,0.782,0.6459999999999999,0,1,0.139,-4.077,0,0.0375,123.863
0.32299999999999995,2018,0.371,0.5720000000000001,0.385,0,7,0.231,-6.362,1,0.0308,95.799
0.431,1966,0.244,0.3670000000000001,0.392,0,7,0.105,-9.745,1,0.0318,121.611
0.667,1966,0.15,0.584,0.5770000000000001,3.81e-4,2,0.0804,-10.456,1,0.042,127.263
0.21600000000000005,1975,0.966,0.41,0.0153,3.88e-5,5,0.0828,-21.965,1,0.05,147.41899999999995
0.8370000000000001,1966,0.564,0.334,0.745,3.64e-4,9,0.369,-4.894,1,0.0474,135.317
0.359,1970,0.6729999999999999,0.635,0.32,2.97e-5,9,0.175,-14.083,0,0.0674,83.87100000000002
0.949,1938,0.993,0.8220000000000001,0.259,0.902,7,0.103,-17.173,0,0.305,76.438
0.5920000000000001,1979,0.16,0.618,0.815,0.0508,5,0.233,-7.885,1,0.0346,84.35700000000001
